,"getEclipse21Settings","M_FORCE","WRAP_NO_SPLIT","getIndentStyle","String","WRAP_NEXT_PER_LINE","alignmentValue","INDENT_DEFAULT","WRAP_NEXT_SHIFTED","DefaultCodeFormatterOptions","getEclipseDefaultSettings","M_NEXT_SHIFTED_SPLIT","Alignment","setWrappingStyle","M_COMPACT_SPLIT","getForceWrapping","existingValue","M_COMPACT_FIRST_BREAK_SPLIT","value","M_ONE_PER_LINE_SPLIT","WRAP_ONE_PER_LINE","setForceWrapping","WRAP_COMPACT","M_NEXT_PER_LINE_SPLIT","valueOf","M_INDENT_ON_COLUMN","getJavaConventionsSettings","M_INDENT_BY_ONE","getMap","getWrappingStyle","Integer","parseInt","getDefaultSettings","setIndentStyle","INDENT_BY_ONE","arg0","INDENT_ON_COLUMN","WRAP_COMPACT_FIRST_BREAK","createAlignmentValue","SPLIT_MASK"
"getEclipse21Settings",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"M_FORCE",0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WRAP_NO_SPLIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getIndentStyle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WRAP_NEXT_PER_LINE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"alignmentValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"INDENT_DEFAULT",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"WRAP_NEXT_SHIFTED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"DefaultCodeFormatterOptions",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"getEclipseDefaultSettings",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
