,"add","next","PathCollector","iter","i","hasNext","String","getPaths","documentPath","result","iterator","size","paths","arg0"
"add",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"next",0,0,0,1,0,0,0,0,0,1,0,0,0,0
"PathCollector",0,0,0,0,0,0,0,0,0,0,0,0,3,0
"iter",0,1,0,0,0,1,0,0,0,0,1,0,0,0
"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"hasNext",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"String",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"getPaths",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"documentPath",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"result",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"iterator",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"size",0,0,0,0,0,0,1,0,0,0,0,0,1,0
"paths",1,0,3,0,0,0,0,0,0,0,1,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
