,"getPoint","p1","yCoord","p2","other","outlier","Double","getRadius","point","o","Outlier","that","getX","getY","xCoord","obj","arg0","equals","overlaps","toString","radius"
"getPoint",0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"p1",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"yCoord",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"p2",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
"outlier",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getRadius",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"point",1,0,0,0,0,0,0,0,1,0,4,1,0,0,0,0,1,1,0,0,0
"o",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Outlier",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,8
"that",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"getX",1,1,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0
"getY",1,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0
"xCoord",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"overlaps",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"radius",0,0,0,0,0,0,2,1,0,0,8,1,0,0,0,0,0,0,4,0,2
