,"AlignmentException","MULTI_CATCH","printNewLine","enclosing","ALLOCATION","tooLong","mode","memberAlignment","Alignment","startIndex","Assert","outputColumn","indentation","BREAK","M_COMPACT_SPLIT","buffer","M_COMPACT_FIRST_BREAK_SPLIT","M_ONE_PER_LINE_SPLIT","level","kind","fragmentIndentations","wrappedIndex","ALIGN_TOO_SMALL","currentColumn","startingColumn","arg0","name","reset","breakIndentationLevel","continuationIndent","org.emftext.language.java.types.impl.IntImpl@3535bde8","nlsTagCounter","fragmentBreaks","fragmentIndentation","wasReset","NAMES","indentationLevel","chunkKind","chunk","update","targetAlignment","indentationSize","chunkStartIndex","org.emftext.language.java.types.impl.IntImpl@6fba9b0f","M_NEXT_SHIFTED_SPLIT","current","org.emftext.language.java.types.impl.IntImpl@5cba1681","relativeDepth","currentIndentation","MESSAGE_SEND","canAlign","wasSplit","org.emftext.language.java.types.impl.IntImpl@52ef701","indentSize","enclosingAlignment","fragmentCount","originalIndentationLevel","max","M_NEXT_PER_LINE_SPLIT","getNextIndentationLevel","column","someColumn","i","superEnclosingAlignment","needSpace","scribe","outputIndentationLevel","isTrue","isWrapped","StringBuffer","depth","fragmentIndex","needRedoColumnAlignment","sourceRestart","shiftBreakIndentationLevel","MESSAGE_ARGUMENTS","location","toString","blockAlign","tieBreakRule","append","Location"
"AlignmentException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MULTI_CATCH",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printNewLine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"enclosing",0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"ALLOCATION",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tooLong",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"mode",0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"memberAlignment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alignment",0,0,0,4,3,1,8,0,0,0,0,0,0,0,1,0,1,1,0,3,16,0,0,0,2,0,2,2,15,0,0,0,21,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,0,3,0,8,0,0,0,19,1,0,1,0,0,0,0,0,0,12,0,0,0,0,0,9,3,0,3,3,8,0,4,1,0,0
"startIndex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
