,"prime","result","Group","getClass","other","getName","hashCode","obj","arg0","equals","toString","group"
"prime",0,1,0,0,0,0,0,0,0,0,0,0
"result",0,1,0,0,0,0,1,0,0,0,0,0
"Group",0,0,0,0,0,0,0,0,0,0,0,1
"getClass",0,0,0,0,0,0,0,1,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,0,0,2
"getName",0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,1,0,0,0,0,0,0,0,0,0,1
"obj",0,0,0,1,1,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,1
"toString",0,0,0,0,0,0,0,0,0,0,0,0
"group",0,1,1,0,2,1,1,0,1,1,1,1
