,"CppByte","s","cppType","CType","cType","jType","l","JavaByte","append","cb"
"CppByte",0,0,1,0,0,0,0,0,0,0
"s",0,1,0,0,0,0,0,0,0,0
"cppType",0,0,0,0,0,0,0,0,0,0
"CType",0,0,0,0,1,0,0,0,0,0
"cType",0,0,0,0,0,0,0,0,0,0
"jType",0,0,0,0,0,0,0,0,0,0
"l",0,2,0,0,0,0,0,0,0,0
"JavaByte",0,0,0,0,0,1,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,15
"cb",0,0,0,0,0,0,0,0,15,0
