,"fname","other","cppType","CppBoolean","CType","JavaBoolean","cType","RIO_PREFIX","l","s","Consts","setJavaType","append","cb"
"fname",0,0,0,0,0,0,0,0,0,3,0,0,0,0
"other",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"cppType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CppBoolean",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"CType",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"JavaBoolean",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"cType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"RIO_PREFIX",0,0,0,0,0,0,0,0,0,2,2,0,0,0
"l",0,0,0,0,0,0,0,0,0,2,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Consts",0,0,0,0,0,0,0,2,0,0,0,0,0,0
"setJavaType",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,0,17
"cb",0,0,0,0,0,0,0,0,0,0,0,0,17,0
