,"b","JavaInt","s","cppType","CType","cType","jType","l","append","cb","CppInt"
"b",0,0,1,0,0,0,0,0,0,0,0
"JavaInt",0,0,0,0,0,0,1,0,0,0,0
"s",0,0,2,0,0,0,0,0,0,0,0
"cppType",0,0,0,0,0,0,0,0,0,0,0
"CType",0,0,0,0,0,1,0,0,0,0,0
"cType",0,0,0,0,0,0,0,0,0,0,0
"jType",0,0,0,0,0,0,0,0,0,0,0
"l",0,0,1,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,15,0
"cb",0,0,0,0,0,0,0,0,15,0,0
"CppInt",0,0,0,1,0,0,0,0,0,0,0
