,"typeIDByteString","fname","other","RIO_PREFIX","wrapper","type","suffix","toCamelCase","CppType","JavaType","s","Consts","getType","peer","name","append","cb"
"typeIDByteString",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"fname",0,0,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0
"other",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"RIO_PREFIX",0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0
"wrapper",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"suffix",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"toCamelCase",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"CppType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"JavaType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Consts",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"getType",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"peer",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"cb",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
