,"NO_VALIDATION_ERRORS","validateAnnotatedField","validateAnnotatedMethod","validateAnnotatedClass"
"NO_VALIDATION_ERRORS",0,1,1,1
"validateAnnotatedField",0,0,0,0
"validateAnnotatedMethod",0,0,0,0
"validateAnnotatedClass",0,0,0,0
