,"add","receiver","ParenthesizedMASK","ArrayList","bits","ParenthesizedSHIFT","MessageSend","traverse","size","arg1","fragmentsList","arg0","scope","CascadingMethodInvocationFragmentBuilder","toArray","ASTNode","fragments","messageSend","visitor"
"add",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
"receiver",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0
"ParenthesizedMASK",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"bits",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ParenthesizedSHIFT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"MessageSend",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"traverse",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"size",0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fragmentsList",5,0,0,0,0,0,0,0,2,0,0,0,0,9,1,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scope",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"CascadingMethodInvocationFragmentBuilder",0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,1
"toArray",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"ASTNode",0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"fragments",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"messageSend",0,3,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
"visitor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
