,"htmlNodesPtr","toStringDebug","sourceEnd","JAVADOC_TAGS_ID_MASK","org.emftext.language.java.types.impl.IntImpl@744c341a","htmlIndex","htmlIndexes","source","isImmutableHtmlTag","indentation","isImmutable","tagIndex","text","buffer","DEFAULT_ARRAY_SIZE","separatorIndex","org.emftext.language.java.types.impl.IntImpl@223f730a","tagID","org.emftext.language.java.types.impl.LongImpl@2471844d","htmlTagIndex","org.emftext.language.java.types.impl.IntImpl@40ad0d70","node","arg2","immutable","arg4","size","arg1","FormatJavadocText","arg0","separatorsPtr","isClosingHtmlTag","isTextAfterHtmlSeparatorTag","idx","line","JAVADOC_TAGS_INDEX_MASK","JAVADOC_IMMUTABLE_TAGS_ID","nextStart","sourceStart","htmlDepth","System","arraycopy","FormatJavadocNode","end","org.emftext.language.java.types.impl.LongImpl@69118c9a","org.emftext.language.java.types.impl.LongImpl@7b7b36d","JAVADOC_CLOSED_TAG","isText","htmlNodes","getHtmlTagIndex","start","length","i","JAVADOC_SEPARATOR_TAGS_ID","clean","ptr","StringBuffer","depth","getLastNode","getHtmlTagID","isHtmlTag","linesBefore","toString","separators","append"
"htmlNodesPtr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"toStringDebug",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceEnd",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"JAVADOC_TAGS_ID_MASK",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@744c341a",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"htmlIndex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"htmlIndexes",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isImmutableHtmlTag",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indentation",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
