,"read","in","count","start","skip","n","BufferedFSInputStream","size","BufferedInputStream","pos","getPos","seekToNewSource","end"
"read",0,0,0,0,0,0,0,0,0,0,0,0,0
"in",1,0,0,0,0,0,0,0,1,0,1,1,1
"count",0,0,0,1,0,0,1,0,0,0,1,0,0
"start",0,0,0,0,0,0,0,0,0,1,0,0,0
"skip",0,0,0,0,0,0,0,0,0,0,0,0,0
"n",0,0,0,0,1,0,0,0,0,1,0,0,0
"BufferedFSInputStream",0,0,1,0,0,0,0,0,0,2,0,0,0
"size",0,0,0,0,0,0,0,0,1,0,0,0,0
"BufferedInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0
"pos",0,0,0,0,0,0,2,0,0,1,1,0,0
"getPos",0,0,0,0,0,0,0,0,0,1,0,0,0
"seekToNewSource",0,0,0,0,0,0,0,0,0,0,0,0,0
"end",0,0,0,1,0,0,0,0,0,0,0,0,0
