,"read","offset","oldPos","nread","length","nbytes","arg2","pos","getPos","arg1","arg0","position","buffer"
"read",0,0,0,1,0,1,0,0,0,0,0,0,0
"offset",0,1,0,0,0,0,0,0,0,1,0,0,0
"oldPos",0,0,0,0,0,0,0,1,0,0,0,0,0
"nread",1,1,0,0,1,0,0,0,0,0,0,1,0
"length",0,0,0,0,2,0,1,0,0,0,0,0,1
"nbytes",0,0,0,1,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0
"pos",0,0,0,0,0,0,0,0,0,0,0,0,0
"getPos",0,0,1,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0
"position",0,0,0,0,0,0,0,1,0,0,0,2,0
"buffer",0,0,0,0,1,0,0,0,0,0,1,0,2
