,"BYTE_1_MASK","ZipShort","org.emftext.language.java.types.impl.ByteImpl@3d72ee9f","offset","cnfe","getBytes","o","result","getValue","RuntimeException","bytes","BYTE_MASK","hashCode","BYTE_1_SHIFT","equals","clone","org.emftext.language.java.types.impl.ByteImpl@1245579a","Cloneable","toString","value"
"BYTE_1_MASK",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"ZipShort",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"org.emftext.language.java.types.impl.ByteImpl@3d72ee9f",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"offset",0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"cnfe",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getBytes",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"result",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getValue",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"RuntimeException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bytes",0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2
"BYTE_MASK",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BYTE_1_SHIFT",0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"clone",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"org.emftext.language.java.types.impl.ByteImpl@1245579a",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Cloneable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",0,1,0,0,0,0,0,4,2,0,0,0,1,0,1,0,0,0,1,1
