,"initializeMessages","Messages","binding2","MessageFormat","binding1","bindings","format","binding","message","BUNDLE_NAME","bind","NLS","arg1","arg0","Object","class"
"initializeMessages",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"Messages",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"binding2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"MessageFormat",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"binding1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"bindings",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"format",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"binding",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"message",0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0
"BUNDLE_NAME",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bind",0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"NLS",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Object",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"class",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
