,"IAnnotation","annotation","getAnnotationsNumber","sizeInBytes","offset","structOffset","u2At","ClassFileAttribute","length","annotations","i","classFileBytes","constantPool","RuntimeVisibleAnnotationsAttribute","getAnnotations","annotationsNumber","Annotation","NO_ENTRIES","reference","readOffset"
"IAnnotation",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"annotation",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getAnnotationsNumber",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sizeInBytes",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"offset",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"structOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u2At",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ClassFileAttribute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"length",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"annotations",0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"classFileBytes",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
"constantPool",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"RuntimeVisibleAnnotationsAttribute",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0
"getAnnotations",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annotationsNumber",0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"Annotation",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO_ENTRIES",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"reference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"readOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
