,"commentPositions","compilationResult","problemsCount","length","RecordedParsingInformation","lineEnds","problems"
"commentPositions",1,0,0,0,1,0,0
"compilationResult",0,0,0,0,0,0,2
"problemsCount",0,0,0,0,2,0,0
"length",0,0,2,0,0,0,2
"RecordedParsingInformation",1,0,2,0,0,1,3
"lineEnds",0,0,0,0,1,1,0
"problems",0,2,1,2,3,0,2
