,"add","words","length","index","i","SimpleWordSet","threshold","extraRoom","CharOperation","second","current","size","array","hashCode","elementSize","equals","newSet","org.emftext.language.java.types.impl.CharImpl@63f8d39c","word","first"
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"words",0,1,3,0,0,9,0,0,0,0,3,0,0,0,0,0,1,0,0,0
"length",0,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"index",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SimpleWordSet",0,9,0,0,0,0,4,0,0,0,0,0,0,0,4,0,1,0,0,0
"threshold",0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0
"extraRoom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"CharOperation",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0
"second",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"current",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
"size",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"array",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"elementSize",0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"equals",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"newSet",1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
"org.emftext.language.java.types.impl.CharImpl@63f8d39c",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"word",1,1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0
"first",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
