,"LineNumberAttribute","offset","structOffset","u2At","ClassFileAttribute","lineNumberTableLength","length","i","classFileBytes","constantPool","NO_ENTRIES","reference","org.emftext.language.java.types.impl.IntImpl@2217009b","getLineNumberTable","readOffset","relativeOffset","getLineNumberTableLength","lineNumberTable"
"LineNumberAttribute",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5
"offset",0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"structOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u2At",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2
"ClassFileAttribute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lineNumberTableLength",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"length",0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"classFileBytes",0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0
"constantPool",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO_ENTRIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"reference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@2217009b",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getLineNumberTable",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"readOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"relativeOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLineNumberTableLength",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lineNumberTable",5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
