,"interfacesCount","IClassFileReader","BootstrapMethodsAttribute","NO_METHOD_INFOS","ClassFileReader","CONSTANT_Utf8_SIZE","CONSTANT_Double_SIZE","CONSTANT_Fieldref_SIZE","BOOTSTRAP_METHODS","superclassNameIndex","Util","IModifierConstants","majorVersion","constantPoolCount","CONSTANT_Methodref_SIZE","attributeCountForMethod","attributesIndex","CONSTANT_Integer","isInterface","innerClassesAttribute","InnerClassesAttribute","EnclosingMethodAttribute","utf8Offset","getAttributes","method","printStackTrace","NO_ATTRIBUTES","getConstantClassNameAt","CONSTANT_Methodref","interfaceIndexes","field","SOURCE","sourceFileAttribute","CONSTANT_MethodHandle_SIZE","getMagic","CONSTANT_InterfaceMethodref_SIZE","attributeLength","getInterfaceNames","CONSTANT_Long","org.emftext.language.java.types.impl.CharImpl@5357b67","CONSTANT_Long_SIZE","u2At","methods","CONSTANT_Fieldref","className","constantPool","CONSTANT_InterfaceMethodref","CONSTANT_String","IClassFileAttribute","CONSTANT_Utf8","ACC_INTERFACE","readOffset","RUNTIME_INVISIBLE_ANNOTATIONS","CONSTANT_InvokeDynamic_SIZE","NO_FIELD_INFOS","e","i","CONSTANT_Float","getMethodsCount","EMPTY_INT_ARRAY","org.emftext.language.java.types.impl.IntImpl@293d81c1","SignatureAttribute","getInterfaceIndexes","ConstantPool","CONSTANT_Double","attributes","minorVersion","FieldInfo","decodingFlags","first","IAttributeNamesConstants","CONSTANT_Class_SIZE","sizeInBytes","ERROR_TRUNCATED_INPUT","getFieldsCount","magicNumber","getClassIndex","SIGNATURE","ClassFormatException","second","reference","CONSTANT_MethodType","accessFlags","constantPoolOffsets","SUPER_INTERFACES","getMajorVersion","CONSTANT_NameAndType_SIZE","fieldsCount","u1At","tag","superclassName","CONSTANT_Class","NO_INTERFACES_NAMES","attributeCountForField","constantPoolIndex","getSourceFileAttribute","structOffset","getAccessFlags","ClassFileAttribute","IConstantPoolConstant","CONSTANT_MethodHandle","ENCLOSING_METHOD","interfaceNames","CONSTANT_Float_SIZE","getMethodInfos","classNameIndex","attributesCount","getSuperclassIndex","INVALID_TAG_CONSTANT","RUNTIME_VISIBLE_ANNOTATIONS","getClassName","CONSTANT_MethodType_SIZE","fields","utf8At","TOO_MANY_BYTES","CONSTANT_NameAndType","RuntimeInvisibleAnnotationsAttribute","u4At","getConstantPool","getFieldInfos","getMinorVersion","classFileBytes","RuntimeVisibleAnnotationsAttribute","CONSTANT_POOL","METHOD_INFOS","SourceFileAttribute","getSuperclassName","methodsCount","attributeName","relativeOffset","bytesAvailable","isClass","INNER_CLASSES","length","getInnerClassesAttribute","INVALID_MAGIC_NUMBER","getAttributeCount","CONSTANT_InvokeDynamic","CONSTANT_String_SIZE","org.emftext.language.java.types.impl.IntImpl@74f5de54","CLASSFILE_ATTRIBUTES","FIELD_INFOS","MethodInfo","CONSTANT_Integer_SIZE"
"interfacesCount",0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"IClassFileReader",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"BootstrapMethodsAttribute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NO_METHOD_INFOS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ClassFileReader",6,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,4,0,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,6,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTANT_Utf8_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTANT_Double_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CONSTANT_Fieldref_SIZE",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOOTSTRAP_METHODS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"superclassNameIndex",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
