,"getNumberOfClasses","offset","structOffset","u2At","InnerClassesAttributeEntry","ClassFileAttribute","numberOfClasses","length","i","classFileBytes","constantPool","getInnerClassAttributesEntries","IInnerClassesAttributeEntry","NO_ENTRIES","reference","entries","readOffset","InnerClassesAttribute"
"getNumberOfClasses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"offset",0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"structOffset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"u2At",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"InnerClassesAttributeEntry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"ClassFileAttribute",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numberOfClasses",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3
"length",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"classFileBytes",0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0
"constantPool",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"getInnerClassAttributesEntries",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IInnerClassesAttributeEntry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"NO_ENTRIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"reference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"entries",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4
"readOffset",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"InnerClassesAttribute",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0
