,"ClassFile","i","newInstance","fill","acquire","typeBinding","ClassFilePool","classFile","classFiles","arg0","POOL_SIZE","reset","Arrays","newClassFile","isShared"
"ClassFile",0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
"i",0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"newInstance",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"fill",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"acquire",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"typeBinding",2,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ClassFilePool",0,0,1,0,0,0,0,0,4,0,0,0,0,0,0
"classFile",0,0,0,0,1,0,0,0,0,0,0,1,0,0,3
"classFiles",0,0,0,0,0,0,4,1,0,1,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"POOL_SIZE",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"reset",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"Arrays",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"newClassFile",0,0,0,0,1,0,0,0,1,0,0,0,0,0,1
"isShared",0,0,0,0,0,0,0,3,0,0,0,0,0,1,0
