,"insertedTokensPosition","removeUnused","replacedTokenUsed","replacedTokensEnd","removedTokenUsed","insertedTokensPtr","i","newRemovedTokensPtr","newReplacedTokensPtr","newInsertedTokensPtr","insertedTokenUsed","removedTokensPtr","replacedTokens","replacedTokensStart","replacedTokensPtr","removedTokensStart","insertedTokens","RecoveryScannerData","removedTokensEnd"
"insertedTokensPosition",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"removeUnused",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"replacedTokenUsed",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"replacedTokensEnd",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"removedTokenUsed",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"insertedTokensPtr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"i",1,0,2,1,2,0,0,0,0,0,2,0,1,1,0,1,1,0,1
"newRemovedTokensPtr",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"newReplacedTokensPtr",0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
"newInsertedTokensPtr",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
"insertedTokenUsed",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0
"removedTokensPtr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"replacedTokens",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0
"replacedTokensStart",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"replacedTokensPtr",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"removedTokensStart",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0
"insertedTokens",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0
"RecoveryScannerData",2,1,3,2,3,2,0,0,0,0,3,2,3,2,2,3,3,0,2
"removedTokensEnd",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
