,"ClassFileConstants","toCodePoint","org.emftext.language.java.types.impl.LongImpl@31998e44","HIGH_SURROGATE_MIN_VALUE","INVALID_DIGIT","org.emftext.language.java.types.impl.LongImpl@139b2f30","org.emftext.language.java.types.impl.LongImpl@3e3beab0","org.emftext.language.java.types.impl.LongImpl@74f9fdac","org.emftext.language.java.types.impl.LongImpl@662776d5","C_SPECIAL","JDK1_6","high","BufferedInputStream","org.emftext.language.java.types.impl.LongImpl@21e00984","org.emftext.language.java.types.impl.LongImpl@3f170ad5","isJavaIdentifierPart","toUpperCase","org.emftext.language.java.types.impl.LongImpl@6700b6db","org.emftext.language.java.types.impl.LongImpl@547839fa","digit","InvalidInputException","PART_INDEX","MAX_OBVIOUS","printStackTrace","Character","toLowerCase","inputStream","isWhitespace","C_DIGIT","isLetterOrDigit","C_SEPARATOR","arg1","org.emftext.language.java.types.impl.LongImpl@1c3ddfb","arg0","complianceLevel","isDigit","Bits","isBitSet","Scanner","isLowerCase","getNumericValue","C_UPPER_LETTER","values","OBVIOUS_IDENT_CHAR_NATURES","C_IDENT_START","C_JLS_SPACE","org.emftext.language.java.types.impl.LongImpl@758f0bbf","isLetter","low","C_LOWER_LETTER","Tables","class","close","codePoint","org.emftext.language.java.types.impl.LongImpl@72bf9b3f","LOW_SURROGATE_MIN_VALUE","c","ScannerHelper","org.emftext.language.java.types.impl.LongImpl@644f9b54","START_INDEX","e","isJavaIdentifierStart","getResourceAsStream","readValues","i","isUpperCase","org.emftext.language.java.types.impl.LongImpl@5a2ffaaf","DataInputStream","org.emftext.language.java.types.impl.LongImpl@2b517f8e","radix","org.emftext.language.java.types.impl.LongImpl@a13d571","readLong","org.emftext.language.java.types.impl.LongImpl@6bd08f2d","org.emftext.language.java.types.impl.LongImpl@41db1117","C_IDENT_PART","org.emftext.language.java.types.impl.LongImpl@6dc2bea3","Tables7","org.emftext.language.java.types.impl.LongImpl@64a73ba9","C_SPACE"
"ClassFileConstants",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toCodePoint",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@31998e44",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"HIGH_SURROGATE_MIN_VALUE",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"INVALID_DIGIT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@139b2f30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@3e3beab0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@74f9fdac",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.LongImpl@662776d5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"C_SPECIAL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
