,"getClass","getName","d","sum","getWidth","Dimension2DDouble","Float","floatToIntBits","getHeight","getSize","obj","hashCode","equals","arg0","width","toString","height"
"getClass",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getName",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3
"sum",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"getWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Dimension2DDouble",0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,2
"Float",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"floatToIntBits",0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"getHeight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getSize",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"width",0,0,3,1,1,4,0,0,0,0,0,0,2,1,3,1,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"height",0,0,3,1,0,4,0,0,1,0,0,0,2,0,0,1,3
