,"intVal","doubleVal","FLOAT","NAME_TYPE","index","i","floatVal","CLASS","type","longVal","strVal1","strVal3","ClassWriter","INT","strVal2","STR","Item","hashCode","UTF8","arg0","equals","DOUBLE","isEqualTo","LONG"
"intVal",2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"doubleVal",0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"FLOAT",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"NAME_TYPE",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"index",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"i",2,2,0,0,0,0,2,0,2,2,4,2,0,0,3,0,0,1,0,0,0,0,0,0
"floatVal",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"CLASS",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0
"longVal",0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,2,0
"strVal1",0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,1,3,0,3,3,0,0,0
"strVal3",0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,1,1,0,1,1,0,0,0
"ClassWriter",0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,2,0,0,2,0,0,2,0,2
"INT",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"strVal2",0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,2,0,2,2,0,0,0
"STR",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Item",1,1,0,0,1,0,1,0,5,1,1,1,0,0,1,0,0,4,0,0,0,0,0,0
"hashCode",0,0,0,0,0,1,0,0,0,0,3,1,0,0,2,0,4,7,0,0,0,0,0,0
"UTF8",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,6,0
"DOUBLE",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"isEqualTo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LONG",0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
