,"r2","b","e","foo","isBinary","compareContent","bar","ResourceUtils","binary","resourceCompare","text","BuildException","r1"
"r2",0,0,0,0,0,0,0,0,0,0,0,0,0
"b",0,0,0,0,0,0,0,0,1,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,1,0
"foo",0,0,0,0,0,0,0,0,0,0,0,0,1
"isBinary",0,0,0,0,0,0,0,0,0,0,0,0,0
"compareContent",0,0,0,0,0,0,0,1,0,1,0,0,0
"bar",1,0,0,0,0,0,0,0,0,0,0,0,0
"ResourceUtils",0,0,0,0,0,1,0,0,0,0,0,0,0
"binary",0,0,0,0,1,0,0,0,0,0,1,0,0
"resourceCompare",0,0,0,0,0,0,0,0,0,0,0,0,0
"text",0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0
"r1",0,0,0,0,0,0,0,0,0,0,0,0,0
