,"ResourceComparator","ONE_NESTED","other","compare","stack","c","foo","project","compareTo","stk","nested","p","dt","bar","resourceCompare","dieOnCircularReference","BuildException"
"ResourceComparator",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ONE_NESTED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"other",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compare",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"stack",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"c",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
"foo",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
"project",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compareTo",0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"stk",0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"nested",0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
"p",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"dt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bar",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"resourceCompare",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dieOnCircularReference",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
