,"add","msg","Pattern","read","patterns","toLowerCase","ArrayList","pattern","matcher","matches","AbstractFileBasedStopwords","compile","trim","arg0","initialize","m_Patterns","word"
"add",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"msg",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pattern",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"read",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"patterns",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toLowerCase",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"pattern",0,2,0,0,0,0,0,4,1,0,0,0,0,1,0,0,0
"matcher",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"matches",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"AbstractFileBasedStopwords",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"compile",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"trim",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"initialize",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"m_Patterns",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"word",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
