,"add","read","toLowerCase","words","is","contains","AbstractFileBasedStopwords","trim","m_Words","arg0","initialize","word","HashSet","startsWith"
"add",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"read",0,0,0,1,0,0,0,0,0,0,0,0,0,0
"toLowerCase",0,0,0,0,0,0,0,1,0,1,0,0,0,0
"words",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"is",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"contains",0,0,0,0,1,0,0,0,1,0,0,0,0,0
"AbstractFileBasedStopwords",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"trim",0,0,1,0,0,0,0,0,0,0,0,1,0,0
"m_Words",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"initialize",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"word",0,0,0,0,0,0,0,1,0,1,0,0,0,1
"HashSet",0,0,0,0,0,0,0,0,1,0,0,0,0,0
"startsWith",0,0,0,0,0,0,0,0,0,0,0,1,0,0
