,"MessageFormat","getLabelTemplate","format","getNumberInstance","getNumberFormat","result","crosshair","getValue","that","numberFormat","StandardCrosshairLabelGenerator","v","arg1","obj","hashCode","arg0","equals","Object","labelTemplate","NumberFormat","generateLabel"
"MessageFormat",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLabelTemplate",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"format",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
"getNumberInstance",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
"getNumberFormat",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"crosshair",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"getValue",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"that",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"numberFormat",0,0,1,0,1,0,0,0,1,1,4,0,0,0,0,1,1,0,0,0,0
"StandardCrosshairLabelGenerator",0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,5,0,0
"v",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"Object",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"labelTemplate",0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,2,1,0,1,0,0
"NumberFormat",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"generateLabel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
