,"TextAnchor","BOTTOM_CENTER","ItemLabelAnchor","itemLabelAnchor","getRotationAnchor","textAnchor","o","CENTER","that","OUTSIDE12","getAngle","obj","getTextAnchor","equals","rotationAnchor","angle","ItemLabelPosition","getItemLabelAnchor"
"TextAnchor",0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"BOTTOM_CENTER",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"ItemLabelAnchor",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"itemLabelAnchor",0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,4,1
"getRotationAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"textAnchor",0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,4,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CENTER",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"that",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0
"OUTSIDE12",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"getAngle",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getTextAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"rotationAnchor",0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,3,0
"angle",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,3,0
"ItemLabelPosition",0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,3,0,0
"getItemLabelAnchor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
