,"ContingencyTables","bagIndex","numBags","classIndex","returnValue","bags","num","i","perBag","j","oldEnt","numClasses","newEnt","total","perClassPerBag","splitEnt","log2","lnFunc","perClass"
"ContingencyTables",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
"bagIndex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numBags",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"classIndex",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"returnValue",0,0,0,0,4,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"bags",0,0,2,0,0,0,0,0,2,0,0,2,0,2,1,0,0,0,1
"num",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"i",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"perBag",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"j",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"oldEnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numClasses",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"newEnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"total",0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
"perClassPerBag",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"splitEnt",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"log2",3,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
"lnFunc",1,0,0,0,4,0,0,0,0,0,1,0,0,0,0,1,0,1,0
"perClass",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
