,"actualNumClasses","org.emftext.language.java.types.impl.DoubleImpl@166c918e","m_perClassPerBag","counts","newDistribution","laplaceProb","org.emftext.language.java.types.impl.DoubleImpl@89a44df","numClasses","org.emftext.language.java.types.impl.DoubleImpl@431bcd37","dumpDistribution","text","getRevision","subtract","index","doubles","Distribution","org.emftext.language.java.types.impl.DoubleImpl@17d2f28a","newWeight","classIndex","org.emftext.language.java.types.impl.DoubleImpl@49997f1b","org.emftext.language.java.types.impl.DoubleImpl@5ff9fc54","perBag","sum","matrix","toSubstract","intIndex","toMerge","grOrEq","arraycopy","table","a","prob","b","max","RevisionUtils","i","org.emftext.language.java.types.impl.DoubleImpl@793f5f64","j","org.emftext.language.java.types.impl.DoubleImpl@14fd1b76","StringBuffer","Utils","toString","to","attIndex","m_perClass","instance","org.emftext.language.java.types.impl.DoubleImpl@75b4e38d","maxBag","source","whichSubset","m_perBag","startIndex","newDist","perClassPerBag","hasMoreElements","from","org.emftext.language.java.types.impl.DoubleImpl@18297876","perClass","numBags","org.emftext.language.java.types.impl.DoubleImpl@1577471b","org.emftext.language.java.types.impl.DoubleImpl@1af14c9c","weight","weights","eq","maxClass","org.emftext.language.java.types.impl.DoubleImpl@5c11a43a","arg2","totaL","arg4","extract","numSubsets","arg0","modelToUse","org.emftext.language.java.types.impl.DoubleImpl@3fce5eab","actualNumBags","bagIndex","org.emftext.language.java.types.impl.DoubleImpl@1c03fbe8","returnValue","org.emftext.language.java.types.impl.DoubleImpl@42d5af0f","minNoObj","org.emftext.language.java.types.impl.DoubleImpl@71e7059a","maxCount","System","total","org.emftext.language.java.types.impl.DoubleImpl@29a7c4f9","maxIndex","numCorrect","probs","org.emftext.language.java.types.impl.DoubleImpl@6d0193a7","org.emftext.language.java.types.impl.DoubleImpl@163c3424","sumOfWeights","length","org.emftext.language.java.types.impl.DoubleImpl@5f854206","org.emftext.language.java.types.impl.DoubleImpl@6a9cabc1","gr","numIncorrect","enu","org.emftext.language.java.types.impl.DoubleImpl@67124c47","enumerateInstances","classValue","isMissing","org.emftext.language.java.types.impl.DoubleImpl@2d5961e3","clone","append","nextElement"
"actualNumClasses",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@166c918e",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_perClassPerBag",0,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"counts",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"newDistribution",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"laplaceProb",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@89a44df",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numClasses",0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@431bcd37",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dumpDistribution",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
