,"a","noUnknown","unknownRate","bags","RevisionUtils","MAX_VALUE","eq","totalNoInst","Double","oldEnt","splitCritValue","numerator","newEnt","total","extract","Utils","getRevision"
"a",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"noUnknown",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"unknownRate",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"bags",0,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0
"RevisionUtils",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"MAX_VALUE",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"eq",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"totalNoInst",0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"oldEnt",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"splitCritValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"numerator",3,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
"newEnt",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"total",0,2,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0
"extract",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"Utils",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
