,"jEdit","getProperty","def","FileOpenerService","finders","length","getService","myFinder","ServiceManager","obj","arg0","equals","name","getServiceNames","class","clazz"
"jEdit",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getProperty",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"def",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FileOpenerService",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
"finders",0,0,0,0,0,2,0,1,0,0,1,0,1,0,0,0
"length",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"getService",0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0
"myFinder",0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
"ServiceManager",0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"obj",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getServiceNames",0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
"class",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3
"clazz",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
