,"line","bottom","drawLine","nested","arg3","gutter","getFoldColor","arg2","setColor","top","getFoldLevel","arg1","arg0","getLineCount","gfx","y","_x","_y","lineHeight","buffer","physicalLine"
"line",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"bottom",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"drawLine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0
"nested",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"gutter",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getFoldColor",0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setColor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"top",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getFoldLevel",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLineCount",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"gfx",0,0,9,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
"y",0,0,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0
"_x",0,0,0,0,0,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0
"_y",0,1,0,0,5,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0
"lineHeight",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
"buffer",0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0
"physicalLine",2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
