,"getClass","isCallReset","getName","numLines","getScrollLine","getPhysicalLine","getDisplayManager","scrollLine","getTextArea","callChanged","Anchor","isCallChanged","callReset","toString","displayManager","physicalLine","textArea"
"getClass",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"isCallReset",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getName",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"numLines",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
"getScrollLine",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"getPhysicalLine",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"getDisplayManager",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scrollLine",0,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,0
"getTextArea",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"callChanged",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
"Anchor",0,0,0,0,0,0,0,2,0,1,0,0,1,0,1,2,1
"isCallChanged",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"callReset",0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"toString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"displayManager",0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
"physicalLine",0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,0
"textArea",0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1
