,"arg3","gutter","getFoldColor","setColor","arg1","arg0","gfx","y","_y","lineHeight","drawLine"
"arg3",0,0,0,0,0,0,0,0,0,0,0
"gutter",0,0,2,0,0,0,0,0,0,0,0
"getFoldColor",0,2,0,0,0,2,0,0,0,0,0
"setColor",0,0,0,0,0,0,2,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0
"gfx",0,0,0,2,0,0,0,0,0,0,12
"y",0,0,0,0,0,0,0,0,2,0,0
"_y",12,0,0,0,12,0,0,0,0,0,0
"lineHeight",0,0,0,0,0,0,0,0,2,0,0
"drawLine",0,0,0,0,0,0,12,0,0,0,0
