,"h","getMaxX","getMaxY","setRect","getWidth","arg3","rect","arg2","getHeight","getX","arg1","w","arg0","x","y","getCenterY","getCenterX","frame","getMinY"
"h",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
"getMaxX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"getMaxY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"setRect",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getWidth",0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,0,0,1,0
"arg3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"rect",0,0,0,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"arg2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getHeight",2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,0
"getX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"w",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"y",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"getCenterY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
"getCenterX",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"frame",0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1
"getMinY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
