,"a","b","pre","d","HashUtilities","PowerFunction2D","Math","result","getValue","that","arg1","obj","hashCode","arg0","x","pow","getA","getB"
"a",1,0,0,1,0,5,0,0,1,1,0,0,0,0,0,0,1,0
"b",0,1,0,1,0,5,0,0,0,1,1,0,0,0,0,0,0,1
"pre",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"HashUtilities",0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"PowerFunction2D",5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Math",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"result",0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"getValue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"that",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"arg1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"obj",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"x",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"pow",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"getA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getB",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
