,"getName","getField","otherMember","annotationType","getAnnotations","target","getDeclaringClass","field","getAnnotation","getType","arg0","equals","get","toString","getModifiers","isShadowedBy","FrameworkField"
"getName",1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"getField",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"otherMember",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"annotationType",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getAnnotations",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
"target",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getDeclaringClass",0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0
"field",0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,0,1
"getAnnotation",0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"getType",0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"equals",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"get",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"toString",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"getModifiers",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"isShadowedBy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FrameworkField",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
