,"PROPERTIES","m_PreparedStatement","getProperties","m_Connection","RevisionUtils","m_checkForUpperCaseNames","getUpdateCount","getUpperCase","props","propsFile","extract","DatabaseUtils","getMetaData","getRevision"
"PROPERTIES",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"m_PreparedStatement",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getProperties",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_Connection",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"RevisionUtils",0,0,0,0,0,0,0,0,0,0,1,0,0,0
"m_checkForUpperCaseNames",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"getUpdateCount",0,1,0,0,0,0,1,0,0,0,0,0,0,0
"getUpperCase",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"props",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"propsFile",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"extract",0,0,0,0,1,0,0,0,0,0,0,0,0,1
"DatabaseUtils",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getMetaData",0,0,0,1,0,0,0,0,0,0,0,0,1,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0
