,"yChange","m_yChange","indexVal","m_xChange","xChange","m_indexVal"
"yChange",0,1,0,0,0,0
"m_yChange",0,0,0,0,0,0
"indexVal",0,0,0,0,0,1
"m_xChange",0,0,0,0,0,0
"xChange",0,0,0,1,0,0
"m_indexVal",0,0,0,0,0,0
