,"msg","m_DateFormat","err","method","level","format","RevisionUtils","cls","System","Date","println","extract","arg0","getRevision"
"msg",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"m_DateFormat",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"err",0,0,0,0,0,0,0,0,1,0,1,0,0,0
"method",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"level",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"format",0,1,0,0,0,0,0,0,0,0,0,0,1,0
"RevisionUtils",0,0,0,0,0,0,0,0,0,0,0,1,0,0
"cls",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"System",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"Date",0,0,0,0,0,0,0,0,0,0,0,0,1,0
"println",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"extract",0,0,0,0,0,0,1,0,0,0,0,0,0,1
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getRevision",0,0,0,0,0,0,0,0,0,0,0,0,0,0
