,"patternLocator","MatchLocatorParser","nodeSet","consumeTypeImportOnDemandDeclarationName","reportImportMatch","match","consumeSingleStaticImportDeclarationName","IJavaSearchConstants","problemReporter","node","consumeSingleTypeImportDeclarationName","ImportMatchLocatorParser","patternFineGrain","consumeStaticImportOnDemandDeclarationName","astPtr","locator","IMPORT_DECLARATION_TYPE_REFERENCE","astStack"
"patternLocator",0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0
"MatchLocatorParser",0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0
"nodeSet",0,0,4,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
"consumeTypeImportOnDemandDeclarationName",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"reportImportMatch",0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0
"match",4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consumeSingleStaticImportDeclarationName",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IJavaSearchConstants",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"problemReporter",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"node",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"consumeSingleTypeImportDeclarationName",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ImportMatchLocatorParser",4,0,4,0,5,0,0,0,0,0,0,0,2,0,4,0,0,4
"patternFineGrain",0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
"consumeStaticImportOnDemandDeclarationName",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"astPtr",0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4
"locator",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IMPORT_DECLARATION_TYPE_REFERENCE",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"astStack",0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0
