,"queryIn","R_EXACT_MATCH","query","getBlankPattern","IIndexConstants","SecondaryTypeDeclarationPattern","index","CATEGORIES","output","SECONDARY_PATTERN_KEY","print","TypeDeclarationPattern","SECONDARY_SUFFIX","matchRule","categories","R_CASE_SENSITIVE","append","key","R_PATTERN_MATCH"
"queryIn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_EXACT_MATCH",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"query",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"getBlankPattern",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"IIndexConstants",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"SecondaryTypeDeclarationPattern",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"index",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CATEGORIES",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"output",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
"SECONDARY_PATTERN_KEY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"print",0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"TypeDeclarationPattern",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SECONDARY_SUFFIX",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"matchRule",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"categories",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_CASE_SENSITIVE",0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"key",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"R_PATTERN_MATCH",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
