,"specificationVendor","extensionName","implementationVendorID","implementationVersion","implementationURL","DeweyDecimal","getCheckedRef","specificationVersionString","toExtension","message","setRefid","ExtensionAdapter","implementationVersionString","reference","Extension","ref","implementationVendor","DataType","toString","BuildException","specificationVersion"
"specificationVendor",1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"extensionName",0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"implementationVendorID",0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"implementationVersion",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
"implementationURL",0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"DeweyDecimal",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getCheckedRef",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"specificationVersionString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"toExtension",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"message",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"setRefid",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"ExtensionAdapter",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"implementationVersionString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"reference",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"Extension",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"ref",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"implementationVendor",0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0
"DataType",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"toString",0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1
"BuildException",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"specificationVersion",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
