,"DefaultValueDataset","o1","o2","Double","vd","ObjectUtilities","equal","getValue","DatasetChangeInfo","obj","hashCode","equals","value","info"
"DefaultValueDataset",0,0,0,0,0,0,0,0,0,0,0,0,6,0
"o1",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o2",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Double",1,0,0,0,0,0,0,0,0,0,0,0,0,0
"vd",0,0,0,0,0,0,0,1,0,0,0,0,0,0
"ObjectUtilities",0,0,0,0,0,0,1,0,0,0,0,0,0,0
"equal",0,0,0,0,0,1,0,0,0,0,0,1,0,0
"getValue",0,0,1,0,1,0,0,0,0,0,0,0,0,0
"DatasetChangeInfo",0,0,0,0,0,0,0,0,0,0,0,0,0,1
"obj",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"hashCode",0,0,0,0,0,0,0,0,0,0,1,0,1,0
"equals",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"value",6,1,0,1,0,0,0,1,0,0,2,0,2,0
"info",0,0,0,0,0,0,0,0,0,0,0,0,0,0
