,"jEdit","getProperty","getWidget","getBuffer","setToolTipText","indent","ToolTipLabel","MouseAdapter","IndentWidget","CENTER","setEnabled","view","SwingConstants","arg0","buffer","getComponent","getStringProperty","toggleAutoIndent","setHorizontalAlignment","addMouseListener","setText"
"jEdit",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getProperty",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getWidget",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getBuffer",0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0
"setToolTipText",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,0,1,0,1,0,0,0,7,0,3,0,0,0,0,1,0,0,1,1,3
"ToolTipLabel",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MouseAdapter",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"IndentWidget",0,0,0,0,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"CENTER",0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"setEnabled",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"view",0,0,0,2,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
"SwingConstants",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"buffer",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
"getComponent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getStringProperty",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"toggleAutoIndent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"setHorizontalAlignment",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"addMouseListener",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"setText",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
