,"getLineOfOffset","getLineNumber","getPosition","offset","LineInformation","line","astRoot","create","doc","position","getLineOffset"
"getLineOfOffset",1,0,0,0,0,0,0,0,1,0,0
"getLineNumber",1,0,0,0,0,0,1,0,0,0,0
"getPosition",0,0,0,0,0,0,1,0,0,0,1
"offset",1,0,0,0,0,0,0,0,0,1,0
"LineInformation",0,0,0,0,0,0,0,2,0,0,0
"line",0,0,0,0,0,1,0,0,0,0,1
"astRoot",0,1,1,0,0,0,0,0,0,0,0
"create",0,0,0,0,0,0,0,0,0,0,0
"doc",1,0,0,0,0,0,0,0,0,0,1
"position",0,0,0,0,0,0,0,0,0,0,0
"getLineOffset",0,0,0,0,0,0,0,0,1,0,1
