,"getChangeIndentEdits","SourceModifier","line","newIndentString","ArrayList","getModifications","tabWidth","source","indentUnitsToRemove","sourceIndentLevel","result","IndentManipulation","destIndentLevel","indentWidth","destinationIndent","size","ReplaceEdit","toArray","measureIndentUnits","copy"
"getChangeIndentEdits",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"SourceModifier",0,0,0,0,0,0,3,0,0,3,0,0,0,3,3,0,0,0,0,1
"line",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newIndentString",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ArrayList",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"getModifications",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"tabWidth",0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"source",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"indentUnitsToRemove",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceIndentLevel",0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"result",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
"IndentManipulation",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"destIndentLevel",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indentWidth",0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0
"destinationIndent",0,3,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"size",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"ReplaceEdit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"toArray",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"measureIndentUnits",0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"copy",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
