,"expression","sourceEnd","printExpression","endVisit","printExpressionNoParenthesis","sourceStart","operator","output","traverse","prefixExpression","pos","lhs","PrefixExpression","arg0","scope","operatorToString","visit","CompoundAssignment","visitor","append"
"expression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sourceEnd",0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0
"printExpression",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"endVisit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"printExpressionNoParenthesis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sourceStart",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"operator",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"output",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"traverse",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"prefixExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"pos",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"lhs",0,2,1,0,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,0
"PrefixExpression",0,1,0,0,0,1,1,0,0,2,0,2,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"scope",0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
"operatorToString",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"visit",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"CompoundAssignment",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"visitor",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
"append",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
