,"Binding","NameReference","DepthMASK","fieldBinding","actualReceiverType","bits","binding","isTypeReference","depth","VARIABLE","receiverType","isTypeAccess","DepthSHIFT","TYPE"
"Binding",0,0,0,0,0,0,0,0,0,1,0,0,0,1
"NameReference",0,0,0,0,1,3,4,0,0,0,0,0,0,0
"DepthMASK",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"fieldBinding",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"actualReceiverType",0,1,0,0,0,0,0,0,0,0,0,0,0,0
"bits",0,3,0,0,0,0,0,0,0,0,0,0,0,0
"binding",0,4,0,1,0,0,0,1,0,0,0,2,0,0
"isTypeReference",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"depth",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"VARIABLE",1,0,0,0,0,1,0,0,0,0,0,0,0,0
"receiverType",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"isTypeAccess",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DepthSHIFT",0,0,0,0,0,1,0,0,0,0,0,0,0,0
"TYPE",1,0,0,0,0,1,0,0,0,0,0,0,0,0
