,"analyseCode","printAsExpression","indent","printExpression","annotations","hiddenVariableDepth","modifiers","type","AbstractVariableDeclaration","flowInfo","output","printStatement","print","depth","arg0","name","initialization","append"
"analyseCode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printAsExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"indent",0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"printExpression",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"annotations",0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0
"hiddenVariableDepth",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"modifiers",0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"type",0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"AbstractVariableDeclaration",0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,1,4,0
"flowInfo",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"output",0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4
"printStatement",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"print",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
"depth",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"arg0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"name",0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"initialization",0,0,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0
"append",0,0,0,0,0,0,0,0,0,0,4,2,1,0,0,0,0,0
