,"OptionConverter","getAcceptOnMatch","levelToMatch","getLevelToMatch","level","decide","o","getLevel","toLevel","ACCEPT","DENY","Filter","acceptOnMatch","equals","toString","event","value","LevelMatchFilter","NEUTRAL"
"OptionConverter",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"getAcceptOnMatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"levelToMatch",0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0
"getLevelToMatch",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"decide",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"o",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getLevel",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
"toLevel",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ACCEPT",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"DENY",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
"Filter",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2
"acceptOnMatch",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"equals",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"toString",0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"event",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"value",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"LevelMatchFilter",0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
"NEUTRAL",0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0
