,"area","trimMargin","getWidth","calculateConstrainedSize","g2","calculateTotalWidth","contentHeight","AbstractBlock","Size2D","getHeight","contentWidth","calculateTotalHeight","arrange","width","clone","constraint","height","base"
"area",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"trimMargin",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getWidth",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"calculateConstrainedSize",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"g2",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"calculateTotalWidth",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"contentHeight",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AbstractBlock",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"Size2D",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"getHeight",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"contentWidth",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"calculateTotalHeight",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"arrange",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"width",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"clone",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
"constraint",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"height",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"base",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
