,"r","b","m_col","m_name","Color","g","n"
"r",0,0,0,0,1,0,0
"b",0,0,0,0,1,0,0
"m_col",0,0,0,0,0,0,0
"m_name",0,0,0,0,0,0,0
"Color",0,0,1,0,0,0,0
"g",0,0,0,0,1,0,0
"n",0,0,0,1,0,0,0
