,"m_levels","noa","e","Node","getChild","setCenter","i","org.emftext.language.java.types.impl.IntImpl@145ce307","l","setTop","r","getHeight","m_levelNode","getTarget","m_noLevels","v","getCVisible","org.emftext.language.java.types.impl.DoubleImpl@43e4f71d","m_yRatio"
"m_levels",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"noa",3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
"e",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
"Node",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"getChild",0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"setCenter",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"i",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.IntImpl@145ce307",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"l",2,0,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0
"setTop",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"r",0,0,0,0,2,1,0,0,0,1,3,0,0,0,0,0,2,0,0
"getHeight",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"m_levelNode",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"getTarget",0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"m_noLevels",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
"v",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCVisible",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"org.emftext.language.java.types.impl.DoubleImpl@43e4f71d",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"m_yRatio",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
