,"ar","m_command","getCommand","getID","id","m_nodeId"
"ar",0,1,0,0,0,0
"m_command",0,0,1,0,0,0
"getCommand",0,0,0,0,0,0
"getID",0,0,0,0,0,0
"id",0,0,0,0,0,1
"m_nodeId",0,0,0,1,0,0
