,"length","index","i","threshold","extraRoom","put","currentKey","org.emftext.language.java.types.impl.IntImpl@49689c2","s","size","keyTable","elementSize","get","newHashtable","Object","toString","valueTable","value","key","HashtableOfInt","object"
"length",4,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0
"index",0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,0
"i",1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0
"threshold",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0
"extraRoom",0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"put",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"currentKey",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"org.emftext.language.java.types.impl.IntImpl@49689c2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"s",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"size",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"keyTable",4,0,0,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,12,0
"elementSize",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0
"get",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"newHashtable",0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
"Object",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"toString",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
"valueTable",1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,8,1
"value",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
"key",0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"HashtableOfInt",0,0,0,4,0,0,0,0,0,0,12,4,0,1,0,0,8,0,0,0,0
"object",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
