,"getZlibCompressor","DecompressorStream","getZlibDecompressorType","CompressorStream","getConf","in","DefaultCodec","conf","createCompressor","createOutputStream","getCompressorType","getZlibCompressorType","out","createInputStream","getInt","ZlibFactory","getZlibDecompressor","createDecompressor","getDecompressorType","compressor","decompressor"
"getZlibCompressor",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
"DecompressorStream",0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
"getZlibDecompressorType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"CompressorStream",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"getConf",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"in",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"DefaultCodec",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"conf",0,0,0,0,1,0,1,5,0,0,0,0,0,0,4,0,0,0,0,0,0
"createCompressor",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"createOutputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getCompressorType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getZlibCompressorType",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
"out",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"createInputStream",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getInt",0,2,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
"ZlibFactory",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
"getZlibDecompressor",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"createDecompressor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"getDecompressorType",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"compressor",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"decompressor",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
