,"conversionPattern","PatternParser","BridgePatternConverter","pattern","parse"
"conversionPattern",0,1,0,0,0
"PatternParser",0,0,0,0,0
"BridgePatternConverter",0,0,0,0,1
"pattern",0,0,1,0,0
"parse",0,0,0,0,0
